,GOterm
tnp1,GO:0007286
piwil1,GO:0007286
galntl5,GO:0007286
dpy19l2,GO:0007286
bpy2,GO:0048477
prok2,GO:0048477
tdrd9,GO:0048477
tdrp,GO:0048477
nlrp14,GO:0048477
hils1,GO:0048477
bpy2b,GO:0048477
bpy2c,GO:0048477
acr,GO:0048599
cd9,GO:0007143
lyzl6,GO:0007143
spaca3,GO:0007143
izumo1,GO:0007143
plcz1,GO:0007283
zp3,GO:0007320
zp4,GO:0007320
paep,GO:0007340
glra1,GO:0007342
zp3,GO:0007342
cacna1h,GO:0007342
zp4,GO:0007342
prss37,GO:0007342
nppc,GO:0007343
ghsr,GO:0035036
ghrl,GO:0035036
wnt4,GO:2000360
cbx2,GO:0060046
foxf2,GO:0060467
ptpn11,GO:0060467
wnt5a,GO:0060467
chd7,GO:0060467
dnajc19,GO:0060467
nipbl,GO:1905516
nr0b1,GO:2000359
fgf8,GO:2000359
irx5,GO:2000359
ccr6,GO:2000344
defb1,GO:2000344
paep,GO:1900193
foxl2,GO:1900194
eif2b4,GO:1900194
eif2b2,GO:1900194
eif2b5,GO:1900194
lep,GO:0060706
nodal,GO:0060706
cul7,GO:0060706
mir16-1,GO:0046697
mir16-2,GO:0046697
gcm1,GO:0030237
zp3,GO:0045137
zp3,GO:0045137
arhgdib,GO:0046660
calr,GO:0046660
nodal,GO:0046660
timp1,GO:0046660
acvr1c,GO:0046660
mir15b,GO:0046660
acvr1b,GO:0046661
c1qbp,GO:0046661
ago2,GO:0046661
smurf2,GO:0046661
syde1,GO:0046661
apela,GO:0046661
tubb8,GO:0048806
tnp1,GO:0035261
sycp3,GO:0008406
gdf9,GO:0046545
gdf9,GO:0046545
klk14,GO:0046546
calca,GO:0060474
emp2,GO:0060474
lgals9,GO:1902490
havcr2,GO:1902490
tle6,GO:1902491
klk14,GO:0001541
lyzl6,GO:0001541
nanos3,GO:0001890
hils1,GO:0001890
nppc,GO:0030850
npm2,GO:0060065
sgo1,GO:0110079
spire1,GO:0110081
spire2,GO:0110081
fancm,GO:0060800
cenpx,GO:0060800
cenps,GO:0060800
prdm9,GO:2000367
prdm9,GO:2000368
igf1,GO:1901163
wnt4,GO:1901164
nr5a1,GO:1901165
sox9,GO:1901165
sry,GO:1901165
ndufv2,GO:0007056
sdhaf2,GO:0007290
uqcc3,GO:0035092
slc25a12,GO:0035093
slc25a13,GO:0035093
gsk3b,GO:2000870
pygl,GO:2000870
prkag2,GO:2000870
sdha,GO:0042701
etfrf1,GO:0042701
bloc1s1,GO:0070684
mdh2,GO:0070684
oxa1l,GO:0070684
sirt3,GO:0070684
noa1,GO:0007566
trap1,GO:0060135
prelid1,GO:0060136
trabd2b,GO:0007620
phyh,GO:0007276
slc27a2,GO:0007276
hacl1,GO:0007276
hao1,GO:0007276
acaa1,GO:0007618
acadm,GO:0007618
abcd1,GO:0007618
decr1,GO:0007618
echs1,GO:0007618
hsd17b4,GO:0007618
pex2,GO:0007618
slc27a2,GO:0007618
crot,GO:0007618
bdh2,GO:0007618
adh7,GO:0009566
cyp4v2,GO:0009566
mlycd,GO:0007281
sirt4,GO:0007292
apod,GO:0048232
fto,GO:0022602
alkbh3,GO:0022602
alkbh3,GO:0022602
alkbh5,GO:0001893
fto,GO:0001893
fto,GO:0001893
alkbh3,GO:0001893
alkbh1,GO:0040020
cpt1a,GO:0051446
nit2,GO:0051447
cln3,GO:0045836
cln8,GO:0045836
fut3,GO:0045836
fut5,GO:0045836
fut6,GO:0045836
fut7,GO:0045836
sgpl1,GO:0045836
pla2g15,GO:0045836
ormdl2,GO:0045836
cerk,GO:0045836
ormdl1,GO:0045836
ormdl3,GO:0045836
cln3,GO:0000212
enpp7,GO:0000212
fpgs,GO:0007131
mthfd1l,GO:0007131
vnn2,GO:0045132
vnn1,GO:0045132
cyp2c9,GO:0051295
pm20d1,GO:0051307
pm20d1,GO:0061982
hrasls5,GO:0140013
cyp2d6,GO:0090306
cyp3a4,GO:0090306
cyp3a5,GO:0090306
nos2,GO:0000712
nos3,GO:0000712
spr,GO:0000712
gch1,GO:0010520
gba,GO:0010845
sphk1,GO:0010845
acer3,GO:0010845
sphk2,GO:0010845
acer1,GO:0010845
acer2,GO:0010845
cps1,GO:0006311
acer3,GO:0007127
prps1,GO:0060281
fhit,GO:1905880
guk1,GO:1905880
macrod1,GO:1905940
macrod2,GO:1905940
oard1,GO:1905940
gckr,GO:1905941
slc17a1,GO:1905941
abcg2,GO:1905941
slc17a3,GO:1905941
carmil1,GO:1905941
slc22a11,GO:1905941
slc2a9,GO:1905941
slc22a12,GO:1905941
slc16a9,GO:1905941
tymp,GO:2000018
tymp,GO:2000018
dck,GO:2000194
apoc1,GO:0060283
ins,GO:2000019
eif4e,GO:2000020
foxo3,GO:2000020
rpl10,GO:2000020
tcof1,GO:2000020
